Date,leveled log Nasdaq,leveled log S&P,leveled log Russell,leveled log DJIA,leveled log Gold,leveled log 1yr Treasury,leveled log 10yr Bond
9/10/1990,-0.556117914,-0.354848172,-0.352772164,-0.341285081,0.473228653,-0.36585914,0.025417459
9/11/1990,-0.565051029,-0.360598168,-0.351574421,-0.35418103,0.462151837,-0.362695036,0.023355015
9/12/1990,-0.566402538,-0.362634246,-0.355658754,-0.352686593,0.467780318,-0.369807157,0.02242187
9/13/1990,-0.566439617,-0.358265825,-0.355315052,-0.352418388,0.471413202,-0.375679671,0.02262187
9/14/1990,-0.583176843,-0.370506697,-0.364014527,-0.37215875,0.476723498,-0.372485636,0.028474796
9/17/1990,-0.584814278,-0.376434689,-0.370243741,-0.381059227,0.485747574,-0.370591137,0.032051277
9/18/1990,-0.589137349,-0.373672184,-0.373521577,-0.381845523,0.492256002,-0.369991137,0.032251277
9/19/1990,-0.586485499,-0.371263584,-0.378049312,-0.374311214,0.481402494,-0.36165914,0.030201557
9/20/1990,-0.596478644,-0.377760834,-0.379226212,-0.386431053,0.479937369,-0.358495036,0.033774241
9/21/1990,-0.615072702,-0.394104361,-0.394849939,-0.396625814,0.490203117,-0.363029836,0.042912848
9/24/1990,-0.628408477,-0.395042961,-0.402227614,-0.405827309,0.490031281,-0.35473749,0.048659174
9/25/1990,-0.64248248,-0.414181192,-0.427970048,-0.418824891,0.530414857,-0.351586468,0.046644334
9/26/1990,-0.64108563,-0.405256385,-0.427273498,-0.411407979,0.518730005,-0.352261166,0.044624577
9/27/1990,-0.648759475,-0.415891528,-0.441926703,-0.410808998,0.518803301,-0.367085636,0.034774241
9/28/1990,-0.697764194,-0.429589405,-0.461769812,-0.452654384,0.528899435,-0.370379216,0.02482187
10/1/1990,-0.655928078,-0.412888134,-0.457562272,-0.414407401,0.513464547,-0.377612155,0.012471791
10/2/1990,-0.624640534,-0.384617849,-0.444771699,-0.393228123,0.485921811,-0.379636828,0.010372939
10/3/1990,-0.639200543,-0.383960945,-0.439945053,-0.402875591,0.48716205,-0.384306933,0.012871791
10/4/1990,-0.653681155,-0.39632176,-0.448022956,-0.411410825,0.494273277,-0.38502881,0.008468791
10/5/1990,-0.670396245,-0.392387709,-0.45121626,-0.416505034,0.494609612,-0.391064534,0.006359321
10/8/1990,-0.655138472,-0.396400662,-0.458352377,-0.393352752,0.489846742,-0.381846649,0.01691019
10/9/1990,-0.669545497,-0.390328268,-0.457943049,-0.407539393,0.498579308,-0.372702397,0.027355015
10/10/1990,-0.69598884,-0.417593198,-0.478780283,-0.428276886,0.491671914,-0.372102397,0.03432705
10/11/1990,-0.70977219,-0.43331832,-0.491705872,-0.441310435,0.484720572,-0.376751753,0.037895947
10/12/1990,-0.725270051,-0.450100342,-0.514741629,-0.454302761,0.481078237,-0.377468409,0.029086877
10/15/1990,-0.716423646,-0.434917534,-0.512046619,-0.442117551,0.464027861,-0.3781868,0.024751721
10/16/1990,-0.719763162,-0.42450837,-0.511931329,-0.439753201,0.446025946,-0.3775868,0.023814712
10/17/1990,-0.730467154,-0.439023977,-0.52149104,-0.458219136,0.42035004,-0.374351753,0.020595905
10/18/1990,-0.719450373,-0.439792897,-0.520367331,-0.447643304,0.431603006,-0.375068409,0.015071791
10/19/1990,-0.69097139,-0.416864965,-0.508440096,-0.412322214,0.436021585,-0.379752437,0.004885085
10/22/1990,-0.692454105,-0.395259498,-0.499277714,-0.409246221,0.426940712,-0.381804958,0.006244505
